,NIFTY_50,NIFTY 50 Index
,NIFTY_BANK,NIFTY Bank Index
,SBIN,State Bank of India
,PNB,Punjab National Bank
,ICICIBANK,ICICI Bank
,HDFCBANK,HDFC Bank
,YESBANK, Yes Bank
,RELIANCE, Reliance Industries
,LT, Larsen & Toubro
,IDEA, Idea Cellular Ltd.
,BHARTIARTL, Bharti Airtel Ltd.
,HINDALCO, Hindalco Industries
,VEDL, Vedanta Limited
,TATASTEEL, Tata Steel Ltd.
,TCS, Tata Consultancy Services
,INFY, Infosys Ltd.
,ASHOKLEY, Ashok Leyland
,TATAMOTORS, Tata Motors Ltd.
,MARUTI, Maruti
,SUNPHARMA, Sun Phramacueticals Ltd.
,LUPIN, Lupin Pharmacueticals Ltd.
,ITC, Indian Tobacco Company